      t[ns]     EtO1x     EtO1y     EtO1z     EtO2x     EtO2y     EtO2z     EtO3x     EtO3y     EtO3z     EtO4x     EtO4y     EtO4z     EtO5x     EtO5y     EtO5z     EtO6x     EtO6y     EtO6z     EtO7x     EtO7y     EtO7z     EtO8x     EtO8y     EtO8z     EtO9x     EtO9y     EtO9z    EtO10x    EtO10y    EtO10z    EtO11x    EtO11y    EtO11z    EtO12x    EtO12y    EtO12z    EtO13x    EtO13y    EtO13z    EtO14x    EtO14y    EtO14z    EtO15x    EtO15y    EtO15z    EtO16x    EtO16y    EtO16z    EtO17x    EtO17y    EtO17z    EtO18x    EtO18y    EtO18z    EtO19x    EtO19y    EtO19z    EtO20x    EtO20y    EtO20z    EtO21x    EtO21y    EtO21z    EtO22x    EtO22y    EtO22z    EtO23x    EtO23y    EtO23z    EtO24x    EtO24y    EtO24z    EtO25x    EtO25y    EtO25z    EtO26x    EtO26y    EtO26z    EtO27x    EtO27y    EtO27z
       18.44    -90.90    -61.76   -142.17     79.49    231.81     78.79    -86.41     40.65    163.30   -108.93   -107.13    -77.64      4.69    -58.74     -6.58     -3.85    146.81     80.68    101.74    -62.82    260.93      9.34    -52.43    167.79     99.05    165.55    -70.99     44.66     87.84    -43.15     16.71    161.29     40.83    -91.34    -48.31    153.31     24.51      7.19    -28.50    184.65    -57.54    136.30    180.51    290.39    105.32     32.18     99.16    -77.68     99.74    100.22     54.10   -196.66   -132.68   -166.08    -28.35      4.03     -0.17    -40.63    -28.60   -131.98     30.02     -6.22     57.27   -194.30    -88.37    -35.89    -56.59    182.82     52.60     20.96     48.27     17.66     98.62    215.31    -99.28     96.63    -20.57     67.66    -55.14    -46.82     91.14
       18.46    -98.85    -61.62   -149.04     76.06    231.91     80.54    -88.69     43.62    167.76   -114.17   -109.37    -66.96      2.19    -59.33    -14.49     -5.80    144.23     83.59     97.88    -63.38    260.36      3.11    -54.28    167.07     98.74    170.87    -74.51     48.68     86.34    -38.72     18.29    160.10     38.37    -90.89    -45.39    156.20     24.98      9.42    -28.87    179.16    -61.33    132.86    181.14    291.85    107.56     34.14     98.33    -80.39     99.74     94.66     55.99   -193.36   -136.90   -168.76    -28.90      5.15     -6.43    -44.52    -29.45   -130.67     30.69     -9.61     63.34   -191.54    -85.65    -37.03    -49.68    178.58     56.88     23.23     46.55     17.07     98.48    213.74   -100.18     93.13    -18.58     70.23    -57.68    -42.83     94.50
       18.48   -107.13    -60.26   -147.28     76.96    239.38     79.43    -84.13     41.91    169.81   -110.25   -106.44    -63.98      2.00    -62.02    -17.05     -3.76    143.95     79.60     98.11    -56.87    257.33      4.82    -53.02    169.39     99.88    170.89    -73.94     49.96     87.87    -34.91     22.35    166.03     35.71    -90.59    -48.49    157.43     27.23      6.37    -31.48    177.89    -58.69    132.26    177.78    298.85    105.26     31.44     96.74    -78.87     96.63     86.89     57.06   -197.54   -138.73   -167.21    -23.45      2.97    -10.03    -47.09    -28.26   -134.64     29.36    -18.78     63.70   -188.96    -77.59    -38.67    -48.73    178.50     57.68     29.41     41.03     19.55    103.99    216.48    -97.46     89.32    -20.30     74.32    -51.66    -43.49     94.80
       18.50   -105.04    -57.42   -141.74     82.26    239.65     79.63    -89.18     40.89    170.25   -106.89   -106.89    -62.85      2.89    -58.26    -21.17     -6.17    137.78     69.27    101.37    -53.37    260.99      2.23    -54.76    166.97     96.59    169.26    -75.60     51.51     79.46    -33.76     20.67    167.21     41.22    -91.75    -52.17    158.78     25.40      2.68    -34.21    176.14    -62.72    130.51    183.83    295.29     97.92     27.36     92.79    -82.08     95.67     89.87     60.61   -199.27   -141.47   -162.57    -25.19      0.54    -13.24    -41.98    -27.74   -132.86     26.33    -11.41     65.80   -188.24    -82.48    -43.77    -48.39    175.35     52.99     30.00     38.87     22.37    106.56    216.94    -90.24     91.14    -22.62     71.57    -57.22    -43.72     97.67
       18.52   -102.92    -57.99   -137.19     74.03    231.83     77.53    -90.07     39.63    165.85   -111.01   -100.22    -59.91      0.74    -63.37    -19.47     -6.62    144.91     69.88    100.39    -53.69    265.46      1.56    -52.18    171.30     95.14    169.05    -77.04     50.61     70.84    -28.27     19.65    171.13     37.85    -94.01    -58.17    164.95     25.66      2.73    -32.83    175.92    -58.20    125.16    182.27    299.75     99.14     20.51     90.94    -83.88     94.71     90.72     58.37   -204.65   -143.99   -164.78    -22.39     -2.23     -7.10    -41.95    -30.36   -136.17     28.12    -14.13     63.97   -194.82    -76.63    -48.17    -43.85    170.83     50.84     30.40     38.74     22.13    109.99    215.77    -89.64     98.15    -23.88     76.09    -56.25    -35.22     97.62
       18.54   -103.78    -66.66   -135.06     69.09    235.52     79.19    -93.63     40.33    165.13   -108.16    -96.73    -54.66      2.75    -64.53    -21.72     -9.23    139.87     74.51    108.30    -55.80    268.25     -0.88    -47.75    161.79     95.88    165.96    -80.37     52.35     72.26    -24.15     19.34    167.87     39.36    -91.03    -57.72    162.73     25.65     -4.16    -32.47    178.44    -57.92    122.29    183.37    298.83     99.03     23.59     96.12    -82.15     94.04     89.70     53.36   -203.44   -145.68   -159.08    -28.98     -5.48    -12.88    -37.99    -31.62   -133.51     24.75    -15.34     64.72   -198.79    -80.90    -44.44    -50.01    174.61     52.62     28.60     40.84     22.39    110.71    216.00    -86.84     96.29    -20.91     72.39    -54.60    -35.58    101.90
       18.56    -99.79    -61.72   -131.81     69.41    239.31     80.27    -98.37     47.70    167.93   -103.05    -99.24    -55.00      5.08    -64.91    -19.34     -8.07    144.42     77.27    105.72    -53.05    261.53     -3.90    -39.87    163.72     92.45    169.06    -77.89     56.69     72.99    -21.50     18.36    165.94     37.21    -86.91    -59.18    156.36     27.08     -4.64    -38.95    178.52    -55.85    119.30    190.67    298.10    105.30     24.60    100.44    -89.73     95.15     91.10     47.90   -201.22   -149.41   -154.74    -27.81      0.92    -17.60    -33.33    -26.05   -130.61     24.20    -17.67     68.24   -201.90    -81.92    -45.69    -51.82    179.97     54.14     28.49     44.18     15.30    110.67    211.59    -85.13     95.54    -16.28     67.48    -52.25    -33.71    102.58
       18.58   -100.63    -52.17   -135.75     70.02    239.05     79.23    -97.48     45.02    160.26   -100.27    -99.02    -52.50      5.90    -67.97    -18.13     -8.66    146.46     78.14    103.83    -53.02    257.36     -3.72    -35.20    163.63     90.40    176.71    -77.78     59.36     72.69    -20.88     22.41    168.86     37.37    -85.92    -52.71    154.88     28.46      0.44    -35.10    179.70    -51.53    115.95    194.62    295.01    108.06     22.54    103.89    -89.78     91.97     91.67     45.79   -202.32   -151.54   -156.50    -31.82      4.89    -13.90    -35.14    -30.73   -130.51     24.15    -18.99     68.09   -201.15    -86.22    -58.69    -54.88    178.86     61.41     33.21     47.40     13.06    113.64    212.77    -81.96     99.58    -15.80     72.91    -52.30    -37.63    107.13
       18.60   -102.12    -53.03   -142.56     68.46    241.03     70.71    -95.23     43.92    162.80    -89.75    -97.13    -52.12      1.21    -63.56    -18.02     -5.00    148.12     77.07    109.56    -62.19    252.55     -3.42    -37.94    164.22     88.65    184.00    -76.53     63.42     74.28    -13.35     21.81    166.62     35.54    -83.36    -58.94    153.57     23.17      3.64    -35.82    184.37    -43.24    113.24    193.26    296.74    106.87     25.41    103.02    -90.31     95.16     93.61     39.80   -204.13   -155.42   -151.77    -25.59      9.66    -21.15    -40.32    -34.73   -132.18     24.91    -20.49     66.78   -201.10    -90.25    -57.65    -52.03    176.15     56.00     38.38     48.71     16.43    111.49    211.34    -76.81    103.88    -20.94     71.29    -50.88    -32.14    108.43
       18.62    -99.78    -56.82   -138.65     63.50    246.20     71.61    -95.08     45.23    163.43    -92.43   -102.11    -55.94      1.61    -65.24    -20.89     -7.76    146.57     79.51    107.91    -63.35    250.70     -2.86    -38.37    163.78     89.43    183.00    -78.65     61.46     68.84    -10.55     22.80    163.92     40.57    -83.82    -57.54    155.59     30.94      8.65    -37.56    179.97    -45.55    117.19    195.13    297.52    110.78     25.43    107.87    -85.73     93.78     91.06     34.96   -205.12   -153.27   -151.08    -23.10     12.96    -29.51    -41.08    -36.56   -133.30     24.72    -20.46     69.25   -206.29    -87.17    -51.49    -48.86    174.25     58.50     36.46     45.49     16.55    110.90    209.76    -81.16    109.06    -28.02     76.47    -51.16    -34.96    116.62
       18.64    -99.88    -63.03   -136.24     62.52    246.23     75.36   -100.06     50.79    168.81    -94.00   -108.19    -60.50      2.62    -69.07    -22.68     -7.83    147.30     82.51    115.15    -62.72    250.64      2.27    -41.76    162.93     90.58    180.24    -73.75     60.64     64.33     -8.12     24.84    165.69     38.87    -78.63    -61.98    158.16     38.82     10.16    -39.27    179.50    -47.32    120.03    199.85    296.30    107.92     25.03    108.53    -88.35     95.52     94.77     31.15   -203.39   -156.27   -155.50    -21.40      7.83    -35.20    -41.70    -37.10   -131.83     29.67    -17.57     70.82   -202.67    -86.87    -53.33    -48.99    174.70     50.27     37.92     45.86     18.97    105.10    214.77    -82.96    106.85    -31.15     74.63    -48.69    -29.61    121.77
       18.66   -102.37    -64.46   -133.95     65.88    241.89     81.58    -96.05     53.44    170.75    -88.83   -101.62    -61.61     -0.41    -65.58    -20.52     -5.67    148.01     80.52    116.04    -61.73    251.81      2.62    -40.81    161.36     91.39    178.05    -70.68     62.11     60.59     -3.20     32.87    164.25     32.67    -84.75    -61.95    158.68     40.88      6.58    -34.87    183.87    -43.73    119.79    195.84    295.55    109.33     33.14    108.13    -89.32     97.74    103.08     34.20   -201.74   -156.90   -149.36    -21.79      5.68    -28.58    -44.01    -39.18   -135.54     26.67    -13.36     69.15   -198.05    -83.07    -50.07    -52.55    173.60     52.39     38.67     34.23     22.14    105.20    216.66    -82.89    103.88    -36.19     73.56    -48.53    -27.15    127.88
       18.68   -101.08    -65.23   -130.08     67.27    240.13     80.48   -101.64     53.52    172.85    -91.09    -96.22    -63.85     -0.37    -66.10    -26.35     -5.04    147.27     77.98    114.72    -60.46    253.02     -0.39    -46.36    159.33     92.94    174.47    -73.20     57.24     60.36     -9.26     28.14    157.90     36.80    -85.20    -62.88    156.52     38.98      2.84    -32.80    184.09    -45.32    124.64    195.91    298.12    111.40     35.54    103.47    -88.87     98.30    104.24     37.99   -202.16   -160.03   -149.79    -19.49      8.07    -23.53    -44.59    -40.24   -130.90     23.31    -18.00     59.69   -200.41    -76.96    -49.42    -52.59    172.49     54.25     40.80     40.30     23.56    106.73    219.56    -80.10     99.08    -33.08     78.87    -49.74    -28.11    127.37
       18.70    -99.81    -59.04   -128.05     67.07    238.72     83.21    -94.57     56.34    174.06    -90.36    -95.97    -60.73     -3.97    -68.78    -23.61     -7.30    144.12     77.93    102.36    -58.51    252.02      4.87    -49.14    157.03     95.38    177.09    -76.03     55.22     58.22     -3.69     33.61    156.02     39.98    -85.85    -68.31    153.76     40.91      4.39    -31.78    180.88    -45.69    127.12    194.80    297.02    109.06     32.99    104.38    -88.92     88.23    101.16     29.74   -202.37   -169.83   -149.08    -25.29     10.31    -29.11    -38.72    -35.30   -131.88     21.34    -17.61     61.25   -197.57    -75.15    -50.58    -47.64    175.33     54.03     43.38     42.36     24.24    105.16    222.12    -68.88     99.08    -32.58     77.56    -57.00    -32.84    121.83
       18.72    -97.97    -57.02   -131.67     63.19    234.99     82.64    -98.07     54.16    172.70    -93.67    -91.20    -55.76     -0.89    -70.31    -23.82      3.18    141.35     76.19    103.60    -60.37    250.52      6.06    -48.92    157.28     96.41    170.61    -71.29     54.38     56.74     -8.15     31.80    156.54     37.02    -84.14    -66.22    160.43     37.95      5.90    -27.29    176.86    -47.66    120.70    194.34    296.24    109.79     31.47    107.92    -89.23     91.86    106.63     26.02   -200.46   -167.27   -152.01    -20.14     12.58    -29.40    -38.51    -37.70   -130.35     19.02    -17.24     57.36   -198.42    -78.74    -52.71    -48.47    172.33     54.62     45.56     36.28     26.45    102.64    217.68    -76.01    101.36    -39.09     82.85    -57.48    -29.25    123.98
       18.74   -102.27    -54.97   -131.97     67.84    236.56     82.81    -93.25     55.68    175.24    -94.11    -94.33    -55.12      6.74    -72.99    -21.19      5.17    140.31     80.44    109.90    -63.17    252.23      5.38    -48.56    165.97     98.63    169.88    -67.04     49.79     56.28     -7.91     29.74    157.34     29.89    -84.38    -63.18    165.71     38.19      4.57    -30.93    176.41    -42.40    116.32    195.82    300.35    111.83     29.64    104.28    -94.24     91.01    102.20     22.95   -200.93   -164.23   -157.30    -21.50     11.29    -26.98    -34.10    -36.98   -136.05     12.50    -13.97     52.18   -199.96    -81.49    -54.49    -56.13    170.19     60.64     49.60     42.50     29.31    101.22    212.80    -86.80    100.95    -30.94     84.07    -56.94    -31.68    123.61
       18.76    -99.50    -59.17   -127.72     70.89    239.28     80.54    -88.19     54.36    172.49    -97.55    -94.35    -53.70      9.95    -75.04    -21.65     -2.21    143.76     76.01    108.90    -61.39    258.53      6.82    -49.22    164.85     95.33    168.04    -67.60     48.19     52.11    -15.30     32.49    153.25     24.57    -81.41    -66.88    164.96     40.12      3.74    -29.96    174.93    -40.25    112.23    196.43    305.15    119.28     30.69    105.90    -95.51     93.92    103.45     19.84   -204.95   -166.70   -157.88    -21.27      7.19    -23.39    -29.46    -36.06   -138.61     15.61    -10.99     52.55   -198.45    -80.79    -54.81    -58.12    171.93     60.68     45.02     41.41     31.24    103.85    213.83    -83.63    104.28    -32.95     83.98    -56.26    -32.89    125.33
       18.78    -91.49    -51.29   -129.03     70.88    237.26     74.77    -87.72     53.56    174.40    -98.54    -88.32    -58.17      7.09    -72.54    -17.22     -4.30    142.88     72.86    106.70    -61.50    256.69      4.26    -49.77    162.52     90.07    169.41    -67.58     51.84     50.52    -23.47     36.30    151.31     30.52    -83.01    -64.76    167.69     34.27      7.61    -31.42    180.55    -38.41    118.55    196.59    303.73    118.90     27.04    101.85    -90.68     95.92    107.85     20.54   -202.85   -165.70   -161.22    -20.79     12.93    -25.14    -36.66    -35.75   -138.66     19.27    -15.91     49.68   -198.21    -88.92    -52.05    -54.04    172.06     59.78     44.31     37.42     34.21    103.12    212.39    -84.12    105.20    -38.75     80.24    -52.54    -36.96    127.76
       18.80    -93.78    -49.22   -129.62     71.61    232.62     79.94    -86.19     55.96    169.89    -96.19    -88.62    -61.75      5.46    -75.44    -19.50     -3.29    141.79     76.75    106.35    -59.55    257.00     -0.51    -44.12    166.16     91.12    168.22    -72.32     57.37     46.78    -24.09     37.19    149.69     25.09    -80.71    -62.16    168.34     46.42      7.18    -30.34    179.57    -40.29    115.83    191.84    294.73    122.58     27.70    102.20    -90.69     98.43    104.75     17.30   -201.51   -163.93   -161.34    -10.65      3.91    -27.07    -42.07    -38.58   -138.57     17.36    -18.56     49.54   -205.69    -88.60    -54.87    -55.95    167.97     58.22     45.46     40.98     30.67    105.60    214.21    -81.15    102.05    -33.59     79.88    -49.81    -40.12    134.84
       18.82    -95.83    -52.42   -127.38     70.13    232.19     75.18    -86.97     56.54    174.90    -96.00    -95.27    -53.23      5.73    -76.52    -19.94     -7.37    141.42     74.51    111.31    -57.76    259.53     -2.82    -42.15    164.59     87.02    175.07    -73.46     53.84     48.47    -23.02     38.37    148.53     29.40    -84.95    -59.23    169.65     44.72      6.45    -33.84    183.35    -38.66    110.61    192.71    296.81    119.59     26.54    104.75    -90.15     96.61    109.87     17.77   -203.80   -162.34   -166.13    -14.34      5.42    -29.36    -43.90    -33.44   -141.66      6.20    -18.01     44.62   -200.09    -90.46    -47.80    -62.76    169.88     53.01     44.82     41.74     35.13    106.35    214.47    -76.11    108.41    -33.79     86.08    -51.08    -35.26    136.51
       18.84    -99.16    -52.86   -126.13     74.34    231.89     75.77    -85.45     55.16    174.15    -88.52   -101.10    -55.13      6.31    -76.32    -17.39     -7.27    139.53     76.37    113.21    -61.44    261.94     -2.37    -41.90    163.22     88.62    174.72    -76.30     54.72     45.16    -16.81     32.70    146.82     26.40    -84.48    -56.63    167.94     42.57     11.43    -32.61    184.17    -39.55    110.23    191.43    298.82    115.25     26.57    102.72    -88.92     96.04    107.17     19.86   -200.94   -159.40   -168.54    -17.34      3.85    -30.26    -36.50    -36.77   -141.31     11.61    -15.53     37.12   -199.26    -87.83    -40.77    -62.00    166.86     51.10     41.43     40.94     35.24    105.81    215.39    -72.00    113.08    -33.87     80.97    -52.96    -32.00    141.32
       18.86    -96.00    -57.99   -126.85     76.00    235.06     73.34    -81.39     53.64    174.09    -93.17   -103.78    -54.26      8.51    -77.92    -18.85     -3.56    143.68     80.26    110.92    -61.38    261.07      1.15    -40.02    166.45     89.30    175.03    -68.47     54.14     42.25    -16.90     37.40    145.22     23.64    -83.69    -57.66    160.86     40.37     11.37    -35.55    187.25    -37.65    110.12    193.45    297.91    115.54     24.28    101.86    -95.64     99.99    111.35     22.30   -200.71   -155.23   -176.62    -22.39      9.81    -25.49    -31.15    -32.47   -135.36      7.97    -17.23     38.24   -197.21    -87.09    -43.17    -62.51    169.95     52.66     43.00     44.41     28.71    107.20    217.30    -78.53    110.66    -32.24     79.86    -47.75    -32.35    133.92
       18.88    -90.98    -60.28   -124.75     88.16    231.43     71.81    -80.08     53.63    173.20    -94.00    -97.85    -57.09     10.55    -78.47    -19.16     -6.18    147.40     82.47    113.15    -51.57    254.67     -2.55    -33.43    167.08     94.92    174.60    -67.62     57.84     45.93    -25.07     39.57    151.31     21.49    -84.22    -58.78    171.17     38.64      6.93    -29.61    183.40    -39.91    110.64    192.20    300.35    116.66     18.12    100.06    -88.73     97.45    114.20     23.00   -193.89   -161.01   -176.05    -19.95      6.72    -25.93    -34.31    -30.58   -128.95      7.02    -20.06     36.62   -196.12    -84.40    -43.99    -56.04    166.11     53.00     42.31     37.99     29.38    105.47    221.61    -82.69    111.72    -35.00     82.19    -46.82    -27.73    131.68
       18.90    -96.14    -60.61   -124.71     93.68    232.60     69.61    -76.28     53.00    171.74    -93.09    -88.57    -52.21      5.77    -86.82    -14.52     -7.23    148.86     92.71    111.68    -53.19    255.46     -3.01    -29.73    169.38     89.58    171.85    -73.32     54.15     47.14    -24.08     40.30    151.15     19.43    -78.70    -59.71    169.76     41.00      5.13    -29.25    174.54    -41.15    116.92    195.56    298.65    118.51     14.80     95.07    -84.62     91.20    109.62     15.23   -191.23   -165.70   -171.48    -22.74      8.09    -24.78    -37.50    -30.85   -125.26      5.98    -17.54     42.68   -191.04    -81.28    -43.95    -59.85    159.35     51.48     41.41     40.04     27.05    101.05    220.46    -81.03    110.29    -35.98     82.77    -49.57    -21.35    131.82
       18.92    -96.97    -60.66   -125.31     89.95    235.14     70.43    -75.80     54.04    171.25    -94.15    -89.24    -57.27      6.93    -86.28    -14.82      0.01    155.52     91.43    108.53    -57.07    254.28     -3.20    -37.90    167.33     91.52    172.09    -69.73     58.43     46.30    -22.39     41.54    151.07     21.42    -81.91    -61.06    168.21     40.48      7.04    -28.33    178.52    -43.97    116.81    192.81    301.16    118.06     11.76     92.34    -80.81     92.90    112.29     17.62   -195.71   -169.04   -175.42    -27.18      1.95    -22.73    -34.36    -29.38   -129.70      5.83    -20.17     48.06   -194.05    -81.65    -50.25    -66.42    161.35     55.49     40.44     43.35     31.93     98.95    222.89    -80.90    112.78    -27.04     91.49    -54.16    -19.45    126.98
       18.94   -102.50    -53.33   -131.44     86.83    233.72     67.87    -73.10     60.34    176.21    -98.65    -93.40    -61.46     10.54    -79.12    -17.46     -1.37    156.47     87.05    104.22    -60.63    254.24     -4.10    -39.95    162.45     95.36    173.02    -68.33     56.88     45.37    -15.71     46.97    155.78     23.22    -83.14    -63.92    170.09     38.44     10.99    -37.64    176.40    -45.89    114.69    191.18    302.02    122.54     12.72     88.22    -81.03     92.01    109.77     20.93   -193.20   -169.75   -174.49    -24.92      1.51    -20.01    -33.34    -22.97   -131.10      7.21    -18.34     49.13   -197.89    -86.01    -47.65    -65.27    164.43     53.28     40.82     45.32     26.08     97.92    223.42    -79.94    108.27    -25.22     85.17    -56.44    -17.64    129.66
       18.96   -100.63    -50.49   -131.71     84.16    234.76     64.92    -72.97     55.07    179.32   -100.25    -86.40    -61.82     10.56    -79.14    -15.37     -5.92    156.66     89.62    107.94    -59.85    254.24     -7.50    -44.14    162.53     95.34    172.05    -69.23     53.45     48.87    -16.95     48.04    160.38     22.47    -78.38    -60.55    169.05     39.40      8.62    -34.31    173.42    -48.67    116.97    197.68    294.61    124.97     17.99     90.09    -80.59     94.02    111.87     15.33   -197.87   -163.57   -172.56    -32.46      4.69    -18.15    -35.43    -18.50   -127.21      7.84    -19.04     47.84   -195.81    -87.54    -53.66    -68.59    177.94     49.89     36.42     43.68     29.32     97.52    225.51    -80.04    103.65    -23.96     89.02    -59.64    -20.61    131.24
       18.98    -97.02    -50.79   -126.78     82.68    233.09     66.59    -75.41     58.98    182.36   -101.34    -88.74    -63.30      9.78    -84.43    -16.07     -0.77    163.03     87.29    106.16    -56.92    255.14    -11.08    -37.84    163.64     99.55    170.67    -72.29     53.71     51.46    -17.78     46.27    158.39     26.86    -80.76    -59.57    177.82     37.47     11.07    -30.94    170.46    -47.68    118.53    191.93    290.01    126.67     20.26     94.32    -70.92     95.79    112.27     12.32   -199.17   -160.25   -171.57    -32.31      2.25    -18.13    -38.41    -20.56   -128.03      7.42    -22.95     49.93   -196.31    -89.38    -56.01    -67.23    176.51     48.68     35.01     46.14     32.82     96.66    223.52    -78.16    103.99    -24.59     89.21    -56.13    -22.53    131.10
       19.00    -94.51    -54.64   -121.99     80.33    235.85     67.25    -67.26     57.56    185.23    -97.80    -89.60    -59.29     13.25    -88.68    -14.56     -0.01    163.52     87.97    108.35    -54.60    256.38    -11.90    -36.80    165.89    100.03    171.38    -74.67     49.98     50.33    -17.58     46.51    163.14     25.97    -81.06    -67.10    169.21     33.99      5.95    -27.55    169.49    -57.60    121.15    188.06    287.12    125.28     13.99     96.21    -68.65     96.53    108.77      8.92   -200.96   -160.47   -170.30    -34.90      3.12    -18.29    -35.42    -17.44   -128.50      6.38    -20.83     54.12   -196.59    -86.17    -54.26    -69.61    179.96     43.62     33.91     50.48     33.35     99.07    222.73    -76.45    102.57    -28.47     88.20    -56.11    -27.15    127.25
       19.02    -90.71    -46.47   -123.95     81.73    231.29     67.41    -66.26     55.65    188.57    -93.96    -94.64    -50.63     12.07    -89.33    -15.09      2.37    170.45     90.08    107.11    -50.70    255.49    -14.45    -35.08    167.00    105.61    171.83    -75.35     52.19     55.86    -15.47     49.32    157.33     25.66    -77.91    -68.23    166.76     34.52     13.05    -27.96    170.28    -61.43    118.63    192.68    283.07    122.46     10.83     93.76    -70.89    100.03    114.18      9.29   -202.90   -167.80   -178.19    -43.64      1.27    -20.68    -33.78    -12.35   -126.81      3.72    -19.55     55.03   -199.65    -89.01    -61.04    -63.36    178.79     46.45     35.85     52.52     37.49     92.96    222.15    -78.07    101.39    -31.65     87.56    -61.52    -26.23    120.04
       19.04    -88.89    -51.84   -121.15     78.16    232.87     74.16    -64.41     58.43    192.18   -101.60    -91.88    -50.62      7.36    -87.09    -19.50      6.91    168.99     87.95    104.19    -46.73    254.91    -13.93    -37.63    171.01    104.95    167.62    -74.52     47.05     51.70    -13.44     50.83    158.71     29.49    -85.78    -74.50    169.19     32.46     17.50    -27.99    174.61    -60.94    117.73    188.18    283.70    129.63     20.23     97.98    -71.49     95.80    113.46      4.15   -198.80   -169.29   -177.47    -49.69     -0.46    -23.75    -33.48    -14.79   -123.41      2.54    -24.19     59.99   -194.32    -94.81    -59.29    -69.03    175.80     42.90     38.91     57.14     32.91     89.54    229.69    -75.39    105.47    -28.60     88.01    -63.59    -17.44    121.62
       19.06    -87.04    -49.42   -122.09     77.37    232.22     76.07    -71.85     60.88    182.83    -97.18    -93.65    -54.21      2.50    -92.84    -13.84     17.22    168.35     88.07    108.67    -52.76    253.86    -20.32    -29.81    169.40    108.96    168.21    -76.17     55.92     51.31    -12.65     51.76    158.72     23.44    -82.88    -75.76    166.31     32.83     13.25    -25.91    176.12    -64.35    115.11    187.31    283.98    129.98     21.26     92.76    -70.26     96.71    114.20      4.99   -199.35   -163.75   -179.29    -55.13      4.90    -19.14    -26.43    -14.87   -124.34      2.81    -24.16     63.64   -202.89    -94.83    -57.24    -64.28    174.60     42.20     35.18     58.60     39.50     92.43    226.15    -79.22    109.14    -26.68     88.71    -60.86    -20.14    120.39
       19.08    -82.98    -46.70   -120.22     79.86    223.54     74.68    -75.43     59.98    184.49   -105.23    -97.45    -53.13     -2.44    -89.56     -9.50     22.34    174.64     90.49    112.86    -52.39    251.00    -25.32    -29.32    167.95    110.07    164.44    -81.90     50.78     50.76    -12.93     53.91    160.87     29.46    -74.76    -83.53    172.40     32.52     11.54    -26.53    171.65    -65.36    113.32    189.44    282.37    128.47     20.12     93.64    -67.88     93.28    116.55      9.96   -203.17   -163.51   -182.50    -57.73      5.61    -23.07    -22.97    -10.15   -124.56      3.17    -23.85     57.59   -202.13    -96.74    -61.87    -59.75    173.37     44.79     30.70     59.19     38.33     88.96    222.23    -80.18    108.49    -21.12     90.98    -54.25    -20.37    125.04
       19.10    -78.85    -50.13   -120.06     87.76    222.03     72.11    -72.73     59.17    185.71   -105.72   -100.18    -53.56     -7.14    -90.54    -15.11     22.90    177.97     95.98    113.15    -48.69    252.58    -24.06    -28.92    166.69    110.05    162.68    -86.54     56.56     47.08    -15.68     53.31    162.85     26.20    -75.29    -89.32    168.33     33.56     15.12    -30.83    173.28    -66.79    110.94    190.05    280.88    133.73     17.33     91.26    -71.11     96.69    113.95     14.23   -205.96   -169.05   -179.95    -58.32      7.46    -25.94    -22.18    -10.48   -123.51      1.20    -16.35     58.64   -204.00   -101.62    -65.78    -61.96    173.34     43.75     32.26     59.27     36.63     88.60    227.70    -81.68    107.50    -22.37     90.87    -53.93    -22.35    124.51
       19.12    -79.10    -51.43   -118.91     88.95    221.83     74.36    -71.95     49.40    179.58   -111.37    -99.65    -56.17     -7.73    -94.50    -19.92     21.21    180.10     96.28    110.51    -39.83    250.68    -28.16    -28.63    167.88    113.58    156.84    -92.36     52.62     37.15    -21.65     52.22    165.37     26.43    -78.08    -87.38    172.24     36.08     12.25    -25.95    174.62    -61.81    108.57    183.93    278.50    135.47     18.02     92.97    -70.24    101.56    111.44     20.33   -203.44   -171.10   -176.10    -53.01      6.26    -26.75    -21.55    -15.74   -120.37      1.01    -21.15     58.58   -205.76   -104.53    -66.70    -60.88    177.17     48.13     31.95     60.34     37.42     85.75    230.09    -83.70    108.33    -23.73     94.08    -45.11    -18.69    129.68
       19.14    -79.41    -46.81   -116.20     87.65    223.30     73.19    -78.12     51.49    184.49   -115.52   -105.82    -62.93     -8.81    -89.93    -23.83     24.55    179.27     96.24    104.06    -35.41    244.75    -23.87    -32.47    170.62    117.19    150.29    -95.71     55.44     34.92    -20.63     58.77    165.20     21.01    -74.75    -87.79    172.03     26.40     13.64    -25.01    176.19    -61.69    102.32    187.37    277.46    134.55     19.80     91.35    -76.04    105.49    106.35     24.86   -202.69   -167.86   -172.09    -50.49     11.24    -27.88    -23.50    -20.92   -119.96      3.19    -21.44     55.50   -197.22   -107.12    -63.17    -61.42    174.42     48.02     27.19     58.74     42.21     85.99    234.54    -81.34    104.92    -19.19     90.20    -44.02    -21.76    133.58
